vocab,kanji,meaning
きます「シャツを～」,着ます,mặc (áo sơ mi,..)
はきます「くつを～」,,mang (giày,…)
かぶります「ぼうしを～」,,đội (nón,…)
かけます「めがねを～」,,đeo (kính,…)
うまれます,生まれます,sinh ra
コートー,,áo khoác
スーツ,,com-lê
セーター,,áo len
ぼうし,帽子,nón, mũ
めがね,眼鏡,kính
よく,,thường
おめでとうございます,,chúc mừng
こちら,,cái này (cách nói lịch sự của “これ”)
やちん,家賃,tiền nhà
うーん。,,"để tôi xem/ừ/thế nào nhỉ"
ダイニングキッチン,,bếp kèm phòng ăn
わしつ,,phòng kiểu Nhật
おしいれ,押し入れ,chỗ để chăn gối trong phòng kiểu Nhật
ふとん,布団,chăn, đệm
アパート,,nhà chung cư
パリ,,Pa-ri
ばんりのちょうじょう,万里の長城,Vạn lý trường thành
よかかいはつセンター,余暇開発センター,Trung tâm phát triển hoạt động giải trí cho người dân
レジャーはくしょ,レジャー白書,sách trắng về sử dụng thời gian rảnh rỗi
