vocab,kanji,meaning
まいります,参ります,đi, đến (khiêm nhường ngữ của きます、いきます)
おります,,có (khiêm nhường ngữ của います)
いただきます,,ăn uống nhận (khiêm nhường ngữ của たべます、もらいます)
もうします,申します,nói (khiêm nhường ngữ của いいます)
いたします,,làm (khiêm nhường ngữ của します)
はいけんします,拝見します,xem (khiêm nhường ngữ của みます)
ぞんじます,存じます,biết (khiêm nhường ngữ của しります)
うかがいます,伺います,hỏi, nghe, thăm (khiêm nhường ngữ của ききます、いきます)
おめにかかります,お目にかかります,gặp (khiêm nhường ngữ của あいます)
ございます,,có (lịch sự ngữ của あります)
～でございます,,là (lịch sự ngữ của ～です)
わたくし,私,tôi (khiêm nhường ngữ của わたし)
ガイド,,hướng dẫn viên
おたく,お宅,nhà (của người khác)
こうがい,郊外,ngoại ô
アルバム,,tập ảnh, album
さらいしゅう,再来週,tuần tới nữa
さらいげつ,再来月,tháng tới nữa
さらいねん,再来年,năm tới nữa
はんとし,半年,nửa năm
さいしょに,最初に,trước hết
さいごに,最後に,cuối cùng
ただいま,ただ今,tôi đã về!
きんちょうします,緊張します,căng thẳng
ほうそうします,放送します,phát thanh, phát hình
とります,撮ります,thu (băng hình)
しょうきん,賞金,tiền thưởng
しぜん,自然,thiên nhiên
きりん,,hươu cao cổ
ぞう,像,con voi
ころ,,lúc khi (thời điểm)
かないます,,thành hiện thực (giấc mơ)
ひとことよろしいでしょうか,,cho tôi nói một lời
きょうりょくします,協力します,hiệp lực, cộng tác
こころから,心から,từ đáy lòng, thật lòng
かんしゃします,感謝します,cảm tạ, biết ơn
はいけい,拝啓,thưa ~ (viết đầu thư)
うつくしい,美しい,đẹp
おげんきでいらっしゃいますか？,,,anh/chị có khỏe không? (kính ngữ của おげんきですか)
めいわくをかけます,迷惑をかけます,làm phiền
いかします,生かします,vận dụng, ứng dụng
[お]しろ,[お]城,thành trì
けいぐ,敬具,kính thư (viết cuối thư)
ミュンヘン,,Munich (thành phố ở Đức)
