vocab,kanji,meaning
つつみます,包みます,bọc; gói
わかします,沸かします,đun sôi
まぜます,混ぜます,trộn; khuấy
けいさんします,計算します,tính toán
あつい,厚い,dày
うすい,薄い,mỏng
べんごし,弁護士,luật sư
おんがくか,音楽家,nhạc sĩ
こどもたち,子どもたち,trẻ em
ふたり,二人,hai người
きょういく,教育,giáo dục
れきし,歴史,lịch sử
ぶんか,文化,văn hoá
しゃかい,社会,xã hội
ほうりつ,法律,pháp luật
せんそう,戦争,chiến tranh
へいわ,平和,hoà bình
もくてき,目的,mục đích
あんぜん,安全,an toàn
ろんぶん,論文,luận văn
かんけい,関係,quan hệ
ミキサ,,máy trộn; máy xay
やかん,,ấm đun nước
せんぬき,栓抜き,cái mở nút chai
かんきり,缶切り,đồ mở đồ hộp
かんづめ,缶詰,đồ hộp
ふろしき,,khăn gói
そろばん,,bàn tính
たいおんけい,体温計,cặp nhiệt độ
ざいりょう,材料,vật liệu
いし,石,đá; sỏi
ピラミッド,,kim tự tháp
データ,,dữ liệu
ファイル,,tập tin
ある～,,nọ
いっしょうけんめい,生懸命,cố gắng
なぜ,,tại sao
こくれん,国連,liên hiệp quốc
こくさいれんごう,国際連合,liên hiệp quốc
ポーランド,,Phần Lan
ローン,,tiền vay; trả góp
セット,,bộ
あとは,,còn lại
カップラーメン,,mì ăn liền
インスタントラーメン,,mì ăn liền
なべ,,nồi
どんぶり,,tô to
しょくひん,食品,thực phẩm
ちょうさ,調査,điều tra
カップ,,tách; chén
また,,lại nữa; ngoài ra
～のかわりに,～の代わりに,thay cho
どこででも,,bất cứ nơi nào
いまでは,今では,bây giờ; hiện nay
