vocab,kanji,meaning
あつまります「ひとが～」,集まります「人が～」,tập hợp, tập trung [người ~]
わかれます「ひとが～」,別れます「人が～」,chia tay [người ~]
ながいきます,長生きます,sống lâu
「おと/こえが～」します,「音/声が～」します,nghe thấy, có [~ âm thanh, tiếng nói]
「あじが～」します,「味が～」します,có [~ vị]
「においが～」します,,có [~ mùi]
「かさを～」さします,「傘を～」さします,che [ô/dù]
ひどい,,tồi tệ, xấu
こわい,怖い,sợ, khiếp
てんきよほう,天気予報,dự báo thời tiết
はっぴょう,発表,công bố, thuyết trình
じっけん,実験,thí nghiệm, thực nghiệm
じんこう,人口,dân số
におい,,mùi
かがく,科学,khoa học
いがく,医学,y học, ngành y
ぶんがく,文学,văn học
パトカー,,xe tuần tra
きゅうきゅうしゃ,救急車,xe cứu thương
さんせい,賛成,tán thành, đồng ý
はんたい,反対,phản đối
だんせい,男性,phái nam
じょせい,女性,phái nữ
どうも,,dường như (dùng khi phán đoán)
～によると,,căn cứ theo… (chỉ nguồn gốc của thông tin)
イラン,,nước IRAN
こいびと,恋人,người yêu
こんやくします,婚約します,đính hôn
あいて,相手,đối tượng, đối tác, nửa còn lại
しりあいます,知り合います,quen biết
へいきんじゅみょう,平均寿命,tuổi thọ bình quân
くらべます「だんせいと」,比べます「男性と」,so sánh [với nam giới ~]
はかせ,博士,tiến sĩ
のう,脳,não
ホルモン,,hooc-môn
けしょうひん,化粧品,mỹ phẩm
しらべ,調べ,cuộc điều tra, nghiên cứu
けしょう「～をします」,化粧「～をします」,trang điểm
