vocab,kanji,meaning
ここ,,chỗ này, đây
そこ,,chỗ đó, đó
あそこ,,chỗ kia, kia
どこ,,chỗ nào, đâu
こちら,,phía này, đằng này, chỗ này, đây (lịch sự của ここ)
そちら,,phía đó, đằng đó, chỗ đó, đó (lịch sự của そこ)
あちら,,phía kia, đằng kia, chỗ kia, kia (lịch sự của あそこ)
どちら,,phía nào, đằng nào, chỗ nào, đâu (lịch sự của どこ)
きょうしつ,教室,lớp học, phòng học
しょくどう,食堂,nhà ăn
じむしょ,事務所,văn phòng
かいぎしつ,会議室,phòng họp
うけつけ,受付,bộ phận tiếp tân, lễ tân
ロビー,,hành lang, đại sảnh
へや,部屋,căn phòng
トイレ（おてあらい）,お手洗い,nhà vệ sinh, toa-lét
かいだん,階段,cầu thang
エレベーター,,thang máy
エスカレーター,,thang cuốn
[お]くに,[お]国,đất nước
かいしゃ,会社,công ty
うち,,nhà
でんわ,電話,máy điện thoại
くつ,靴,giày
ネクタイ,,cà vạt
ワイン,,rượu vang
たばこ,,thuốc lá
うりば,売り場,quầy bán (trong cửa hàng)
ちか,地下,tầng hầm, dưới mặt đất
－かい（－がい）,－階,tầng thứ –
なんがい,何階,tầng mấy
―えん,―円,yên
いくら,,bao nhiêu tiền
ひゃく,百,trăm
せん,千,nghìn
まん,万,mười nghìn, vạn
すみません,,xin lỗi
～でございます,,,lịch sự của 「です」
みせてください,[～を]見せてください,cho tôi xem [~]
じゃ,,thế thì, vậy thì
[～を]ください,,cho tôi [~]
しんおおさか,新大阪,tên nhà ga ở Osaka
イタリア,,Ý
スイス,,Thụy Sĩ
ＭＴ/ヨーネン/アキックス,,,tên các công ty giả tưởng
