vocab,kanji,meaning
おろします,降ろします、下ろします,cho xuống, hạ xuống
とどけます,届けます,gửi đến, chuyển đến
せわをします,世話をします,chăm sóc
いや［な］,,không thích, ngán
きびしい,厳しい,nghiêm khắc, nghiêm ngặt
じゅく,塾,cơ sở học thêm
スケジュール,,thời khóa biểu, lịch trình
せいと,生徒,học trò
もの,者,người (khi nói về người thân hay cấp dưới)
にゅうかん,入館,sở nhập cảnh
さいにゅうこくビザ,再入国ビザ,visa tái nhập cảnh
じゆうに,自由に,một cách tự do
～かん,～間,trong ~ (thời lượng)
いいことですね。,,hay nhỉ, được đấy nhỉ
おいそがしいですか。,お忙しいですか,anh/chị đang bận phải không?
ひさしぶり,久しぶり,sau khoảng thời gian dài
えいぎょう,営業,kinh doanh
それまでに,,đến trước lúc đó
かまいません,,được rồi, không sao
たのしみます,楽しみます,vui thích
もともと,,vốn dĩ
ーせいき,ー世紀,thế kỷ thứ ­ー
かわりをします,代わりをします,thay thế
スピード,,tốc độ
きょうそうします,競走します,chạy đua
サーカス,,xiếc
げい,芸,trò diễn, tiết mục, tài năng
うつくしい,美しい,đẹp
すがた,姿,dáng hình, tư thế
こころ,心,tâm hồn, trái tim
とらえます,,giành được
～にとって,,đối với ~
