vocab,kanji,meaning
つとめます「かいしゃに～」,勤めます「会社に～」,làm việc [công ty ~]
やすみます,休みます,nghỉ ngơi
かけます,掛けます,ngồi xuống [ghế]
すごします,過ごします,trải qua (thời gian)
よります「ぎんこうに～」,寄ります「銀行に～」,ghé vào (ngân hàng)
いらっしゃいます,,kính ngữ của います、いきます、きます
めしあがります,召し上がります,ăn, uống (kính ngữ)
おっしゃいます,,nói (kính ngữ)
なさいます,,làm (kính ngữ)
ごらんになります,ご覧になります,xem (kính ngữ)
あいさつ,,lời chào hỏi (~をします: chào hỏi)
はいざら,灰皿,gạt tàn thuốc
りょかん,旅館,nhà trọ, nhà nghỉ
かいじょう,会場,hội trường
バスてい,,trạm dừng xe bus
ぼうえき,貿易,thương mại, mậu dịch
～さま,～様,ngài ~ (dạng tôn kính của ~さん)
かえりに,帰りに,trên đường về, ở lượt về
たまに,,đôi khi, thỉnh thoảng
ちっとも,,một chút cũng không (dùng với thể phủ định)
えんりょなく,遠慮なく,xin đừng ngại
～ねん～（1ねん3くみ）,～年～（1年3組）,tên lớp (ví dụ: lớp 1-3)
では,,vậy thì (dạng lịch sự của じゃ)
だします（ねつを～）,出します（熱を～）,phát sốt
よろしくおつたえください,よろしくお伝えください,cho tôi gửi lời hỏi thăm
しつれいいたします,失礼いたします,xin chào (khiêm tốn ngữ của しつれいします)
こうし,講師,giảng viên, báo cáo viên
おおくの～,多くの～,nhiều ~
さくひん,作品,tác phẩm
じゅしょうします,受賞します,được giải thưởng
せかいてきに,世界的に,mang tính chất thế giới, toàn cầu
さっか,作家,tác giả
～でございます。,,là (dạng tôn kính của です)
ちょうなん,長男,trưởng nam
しょうがい,障害,khuyết tật, khiếm khuyết
おもちです,お持ちです,có (tôn kính ngữ của もっています)
さっきょく,作曲,viết (sáng tác) nhạc
かつどう,活動,hoạt động
それでは,,thế thì (dùng để bắt đầu hoặc kết thúc)
とうきょうだいがく,東京大学,đại học Tokyo
ノーベルぶんがくしょう,ノーベル文学賞,giải Nobel văn học
