vocab,kanji,meaning
あそびます,遊びます,chơi
およぎます,泳ぎます,bơi
むかえます,迎えます,đón
つかれます,疲れます,mệt
だします [てがみを～],出します [手紙を～],gửi[thư]
はいります [きっさてんに～],入ります [喫茶店に～],vào [quán giải khát]
でます [きっさてんを～],出ます [喫茶店を～],ra, ra khỏi [quán giải khát]
けっこんします,結婚します,kết hôn, lập gia đình, cưới
かいものします,買い物します,mua hàng
しょくじします,食事します,ăn cơm
さんぽします [こうえんを～],散歩します [公園を～],đi dạo [ở công viên]
たいへん「な」,大変「な」,vất vả, khó khăn, khổ
ほしい,欲しい,muốn có
さびしい,寂しい,buồn, cô đơn
ひろい,広い,rộng
せまい,狭い,chật, hẹp
しやくしょ,市役所,văn phòng hành chính quận, thành phố
プール,,bể bơi
かわ,川,sông
けいざい,経済,kinh tế
びじゅつ,美術,mỹ thuật
つり,釣り,việc câu cá (~をします：câu cá)
スキー,,việc trượt tuyết (~をします： trượt tuyết)
かいぎ,会議,họp, cuộc họp (~をします: họp, tổ chức cuộc họp)
とうろく,登録,việc đăng ký (~をします：đăng ký)
しゅうまつ,週末,cuối tuần
～ごろ,,Khoảng ~ (dùng cho thời gian)
なにか,何か,cái gì đó
どこか,,đâu đó, chỗ nào đó
おなかが すきました。,,"(tôi) đói rồi."
おなかが いっぱいです。,,"(tôi) no rồi."
のどが かわきました。,,"(tôi) khát."
そうですね。,,Đúng thế. (câu nói khi muốn tỏ thái độ tán thành)
ロシア,,Nga
そうしましょう。,,Nhất trí./ Chúng ta thống nhất như thế.
ていしょく,,Cơm suất, cơm phần
ごちゅうもんは,ご注文は,Mời anh/chị gọi món
ぎゅうどん,牛どん,món cơm thịt bò
しょうしょう おまちください,少々お待ちください。,xin vui lòng đợi một chút
べつべつに,別々に,để riêng ra
