vocab,kanji,meaning
わたし,私,Tôi
わたしたち,私たち,Chúng tôi
あなた,,Anh/chị, ông/bà, bạn (ngôi thứ 2 số ít)
あのひと,あの人,Người kia
あのかた,あの方,Vị này (lịch sự tương đương với あのひと)
みなさん,,Các bạn, các anh, các chị, mọi người
～さん,,Anh ～, Chị ～, Ông ～, Bà ～ (cách gọi lịch sự)
～ちゃん,,Bé (dùng cho nữ) hoặc gọi thân mật cho trẻ con
～くん,,Bé (dùng cho nam) hoặc gọi thân mật
～じん,～人,Người nước ～
せんせい,先生,Giáo viên
きょうし,教師,Giáo viên (nói đến nghề nghiệp)
がくせい,学生,Học sinh, sinh viên
かいしゃいん,会社員,Nhân viên công ty
～しゃいん,社員,Nhân viên công ty ～
ぎんこういん,銀行員,Nhân viên ngân hàng
いしゃ,医者,Bác sĩ
けんきゅうしゃ,研究者,Nhà nghiên cứu
エンジニア,,Kỹ sư
だいがく,大学,Trường đại học
びょういん,病院,Bệnh viện
でんき,電気,Điện, đèn điện
だれ（どなた）,誰,ai (ngài nào, vị nào)
～さい,～歳,Tuổi
なんさい,何歳,Mấy tuổi
はい,,Vâng
いいえ,,Không
しつれいですが,失礼ですが,Xin lỗi (khi muốn nhờ ai việc gì)
おなまえは？,お名前は,Bạn tên gì?
はじめまして。,初めて,Chào lần đầu gặp nhau
どうぞよろしく[おねがいします]。,どうぞよろしく「お願いします」。,Rất hân hạnh được làm quen
こちらは～さんです。, ,Đây là ngài ~
～からきました。,～から来ました,Đến từ ~
アメリカ,,Mỹ
イギリス,,Anh
インド,,Ấn Độ
インドネシア,,Indonesia
かんこく,韓国,Hàn Quốc
タイ,,Thái Lan
ちゅうごく,中国,Trung Quốc
ドイツ,,Đức
にほん,日本,Nhật
フランス,,Pháp
ブラジル,,Brazil
さくらだいがく,さくら大学,Trường Đại học Sakura (Hoa Anh Đào)
