vocab,kanji,meaning
のります [でんしゃに～],乗ります [電車に～],đi, lên [tàu]
おります [でんしゃに～],降ります [電車に～],xuống [tàu]
のりかえます,乗り換えます,chuyển, đổi (tàu)
あびます [シャワーを～],浴びます,tắm [vòi hoa sen]
いれます,入れます,cho vào, bỏ vào
だします,出します,lấy ra, rút (tiền)
はいります [だいがくに～],入ります [大学に～],vào, nhập học [đại học]
でます [だいがくを～],出ます [大学を～],ra, tốt nghiệp [đại học]
やめます [かいしゃを～],やめます [会社を～],bỏ, thôi [việc công ty]
おします,押します,bấm, ấn (nút)
わかい,若い,trẻ
ながい,長い,dài
みじかい,短い,ngắn
あかるい,明るい,sáng
くらい,暗い,tối
せが たかい,背が 高い,cao (dùng cho người)
あたまが いい,頭が いい,thông minh
からだ,体,người, cơ thể
あたま,頭,đầu
かみ,髪,tóc
なまえ,名前,tên
かお,顔,mặt
め,目,mắt
みみ,耳,tai
は,歯,răng
おなか,,bụng
あし,足,chân
サービス,,dịch vụ
ジョギング,,việc chạy bộ (~をします: chạy bộ)
シャワー,,vòi hoa sen
みどり,緑,màu xanh lá cây
[お]てら,[お]寺,chùa
じんじゃ,神社,đền thờ đạo thần
りゅうがくせい,,lưu học sinh, du học sinh
一ばん,一番,số―
どうやって,,làm thế nào~
どの～,,cái nào~ (dùng với trường hợp từ ba thứ trở lên)
[いいえ、]まだまだです。,,"[không,] tôi còn kém lắm. (cách nói khiêm nhường khi ai đó khen)"
まず,,trước hết, đầu tiên
キャッシュカード,,thẻ ngân hàng, thẻ ATM
あんしょうばんごう,暗証番号,mã số bí mật (mật khẩu)
つぎ に,次に,tiếp theo
かくにん,確認,sự xác nhận, sự kiểm tra (~します：xác nhận)
きんがく,金額,số tiền, khoản tiền
ボタン,,nút
アジア,,châu Á
ベトナム,,Việt Nam
