vocab,kanji,meaning
きる,切る,cắt
おくる,送る,gửi
あげる,,tặng
もらう,,nhận
かす,貸す,cho mượn
かりる,借りる,mượn
かける,,mang
て,手,tay
はし,,cầu
スプーン,,muỗng
ナイフ,,con dao
フォーク,,nĩa
はさみ,,cái kéo
ファクス,,máy fax
ワープロ,,máy đánh chữ
パソコン,,máy tính
パンチ,,cái đục lỗ
ホッチキス,,cái dập ghim
セロテープ,,băng dính
けしゴム,,cục tẩy
かみ,,tóc
はな,花,hoa
シャツ,,áo sơ mi
プレゼント,,quà tặng
にもつ,荷物,hàng hóa
おかね,お金,tiền
きっぷ,,vé (tàu, xe)
クリスマス,,Lễ Giáng sinh
ちち,父,cha mình
はは,母,mẹ mình
これから,,từ bây giờ
おとうさん,お父さん,cha (người khác)
おかあさん,お母さん,mẹ (người khác)
もう,,đã rồi
まだ,,vẫn còn, vẫn chưa
ごめんなさい,,xin lỗi
いらっしゃい,,xin mời
いってきます,,tôi đi đây
しつれします,,xin thất lễ
りょこう,旅行,du lịch
おみやげ,お土産,quà lưu niệm
ヨーロッパ,,Châu Âu
